,location,price(L),rate_persqft,area_insqft,building_status,bhk,property_type
1478,Miyapur,82.0,5455,1503,Ready to move,3.0,Independent Floor
1479,Other,36.5,3318,1100,Ready to move,2.0,Apartment
1480,Other,96.1,5636,1705,Ready to move,3.0,Apartment
1481,Moosapet,86.07,5500,1565,Under Construction,3.0,Apartment
1482,Himayat Nagar,158.0,8324,1898,Ready to move,3.0,Apartment
1483,Himayat Nagar,158.0,8324,1898,Ready to move,3.0,Apartment
1484,Tellapur,160.0,7142,2240,Ready to move,3.0,Apartment
1485,Manikonda,117.0,6200,1890,Under Construction,3.0,Apartment
1486,Kompally,61.98,4999,1240,Under Construction,2.0,Apartment
1487,Tellapur,161.0,7187,2240,Ready to move,3.0,Apartment
1488,Other,68.0,5738,1185,Ready to move,2.0,Apartment
1489,Banjara Hills,1250.0,18939,6600,Ready to move,7.0,Independent House
1490,Other,210.0,9130,2300,Ready to move,3.0,Apartment
1491,Other,210.0,9130,2300,Ready to move,3.0,Apartment
1492,Other,1350.0,21093,6400,Ready to move,5.0,Villa
1493,Other,24.0,1616,1485,New,0.0,Residential Plot
1494,Shadnagar,36.5,2027,1800,New,0.0,Residential Plot
1495,Shadnagar,35.5,2155,1647,New,0.0,Residential Plot
1496,Other,52.2,6444,810,New,0.0,Residential Plot
1497,Shadnagar,31.34,2266,1383,New,0.0,Residential Plot
1498,Shadnagar,35.14,2366,1485,New,0.0,Residential Plot
1499,Manikonda,229.0,8500,2695,Under Construction,4.0,Apartment
1500,Other,95.0,7916,1200,Ready to move,2.0,Independent House
1501,Kompally,147.0,66818,220,Resale,0.0,Residential Plot
1502,Adibatla,25.0,1851,1350,New,0.0,Residential Plot
1503,Ibrahimpatnam,19.0,12666,150,New,0.0,Residential Plot
1504,Adibatla,60.9,3222,1890,New,0.0,Residential Plot
1505,Other,12.65,5938,213,Resale,0.0,Residential Plot
1506,Miyapur,83.85,6500,1290,Ready to move,2.0,Apartment
1507,Miyapur,234.0,7200,3252,Under Construction,4.0,Apartment
1508,Manikonda,117.0,6199,1890,Under Construction,3.0,Apartment
1509,Miyapur,174.0,7200,2424,Under Construction,3.0,Apartment
1510,Miyapur,137.0,6500,2115,Ready to move,3.0,Apartment
1511,Narsingi,126.0,6600,1920,Under Construction,3.0,Apartment
1512,Kukatpally,51.3,3800,1350,Under Construction,2.0,Apartment
1513,Sadashivpet,24.7,13500,183,New,0.0,Residential Plot
1514,Other,960.0,8333,11520,Resale,0.0,Residential Plot
1515,Other,14.04,945,1485,New,0.0,Residential Plot
1516,Ibrahimpatnam,28.96,2839,1020,Ready to move,2.0,Apartment
1517,Ibrahimpatnam,65.0,3611,1800,Under Construction,4.0,Apartment
1518,Other,100.0,5699,1765,Under Construction,3.0,Apartment
1519,Mokila,75.79,5699,1330,Ready to move,2.0,Apartment
1520,LB Nagar,88.0,5500,1600,Under Construction,3.0,Apartment
1521,Manikonda,113.0,6000,1890,Under Construction,3.0,Apartment
1522,Manikonda,141.0,7500,1890,Under Construction,3.0,Apartment
1523,Manikonda,113.0,6000,1890,Under Construction,3.0,Apartment
1524,Hitech City,91.3,5500,1660,Under Construction,3.0,Apartment
1525,Tellapur,85.79,4600,1865,Under Construction,3.0,Apartment
1526,Kokapet,141.0,7199,1960,Ready to move,3.0,Apartment
1527,Narsingi,98.53,5900,1670,Under Construction,3.0,Apartment
1528,Other,83.0,5000,1660,Under Construction,3.0,Apartment
1529,Kondapur,123.0,7300,1695,Under Construction,3.0,Apartment
1530,Kondapur,114.0,6000,1916,Under Construction,3.0,Apartment
1531,Kukatpally,124.0,7500,1660,Under Construction,3.0,Apartment
1532,Puppalaguda,67.65,5500,1230,Under Construction,2.0,Apartment
1533,Kondapur,135.0,7500,1800,Under Construction,3.0,Apartment
1534,Tellapur,67.75,5000,1355,Under Construction,2.0,Apartment
1535,Miyapur,123.0,7500,1640,Under Construction,3.0,Apartment
1536,Narsingi,148.0,8000,1860,Under Construction,3.0,Apartment
1537,Narsingi,158.0,8500,1860,Under Construction,3.0,Apartment
1538,Kokapet,126.0,6000,2100,Under Construction,3.0,Apartment
1539,Kokapet,98.53,5900,1670,Under Construction,3.0,Apartment
1540,Ibrahimpatnam,28.27,1555,1818,New,0.0,Residential Plot
1541,Ibrahimpatnam,22.0,1463,1503,New,0.0,Residential Plot
1542,Ibrahimpatnam,28.0,1555,1800,New,0.0,Residential Plot
1543,Ibrahimpatnam,28.0,1555,1800,New,0.0,Residential Plot
1544,Ibrahimpatnam,36.11,1555,2322,New,0.0,Residential Plot
1545,Other,449.0,13700,3278,Under Construction,4.0,Apartment
1546,Kukatpally,144.0,6699,2155,Under Construction,3.0,Apartment
1547,Ibrahimpatnam,28.26,2826,1000,Ready to move,2.0,Apartment
1548,Hitech City,215.0,9499,2265,Under Construction,3.0,Apartment
1549,Other,133.0,6098,2196,Under Construction,3.0,Apartment
1550,Moosapet,215.0,7498,2880,Under Construction,3.0,Apartment
1551,Moosapet,97.48,7499,1300,Under Construction,2.0,Apartment
1552,Gachibowli,180.0,6792,2650,Ready to move,3.0,Apartment
1553,Kondapur,85.0,4722,1800,Under Construction,3.0,Apartment
1554,Bachupally,67.19,5599,1200,Under Construction,2.0,Apartment
1555,Other,55.0,5288,1040,Ready to move,2.0,Apartment
1556,Nallakunta,75.0,6250,1200,Ready to move,2.0,Apartment
1557,Nallakunta,80.0,4898,1633,Ready to move,2.0,Apartment
1558,Nallakunta,99.0,6600,1500,Ready to move,3.0,Apartment
1559,Other,88.0,5866,1500,Ready to move,3.0,Apartment
1560,Manikonda,87.0,5800,1500,Under Construction,3.0,Apartment
1561,Manikonda,93.26,5800,1608,Under Construction,3.0,Apartment
1562,Puppalaguda,92.62,6500,1425,Under Construction,3.0,Apartment
1563,Ameenpur,91.08,6000,1518,Under Construction,3.0,Apartment
1564,Ameenpur,75.6,6000,1260,Under Construction,2.0,Apartment
1565,Puppalaguda,104.0,6500,1605,Under Construction,3.0,Apartment
1566,Ameenpur,78.0,6000,1300,Under Construction,2.0,Apartment
1567,Ameenpur,76.0,6026,1261,Under Construction,2.0,Apartment
1568,Isnapur,54.45,4500,1210,Ready to move,2.0,Apartment
1569,Manikonda,87.0,5800,1500,Under Construction,3.0,Apartment
1570,Isnapur,54.45,4500,1210,Under Construction,2.0,Apartment
1571,Yadagirigutta,8.25,5500,150,New,0.0,Residential Plot
1572,Shankarpalli,40.8,24431,167,New,0.0,Residential Plot
1573,Other,66.59,5098,1306,Ready to move,2.0,Apartment
1574,Gachibowli,180.0,6792,2650,Ready to move,3.0,Apartment
1575,Other,640.0,15507,4127,Ready to move,4.0,Independent Floor
1576,Bowrampet,77.83,4499,1730,Under Construction,3.0,Apartment
1577,Bowrampet,74.23,4499,1650,Under Construction,3.0,Apartment
1578,Bowrampet,52.41,4499,1165,Under Construction,2.0,Apartment
1579,Nizampet,90.0,6000,1500,Under Construction,3.0,Apartment
1580,Other,15.65,950,1647,New,0.0,Residential Plot
1581,Tukkuguda,20.99,1555,1350,New,0.0,Residential Plot
1582,Other,17.1,950,1800,New,0.0,Residential Plot
1583,Isnapur,49.99,2777,1800,New,0.0,Residential Plot
1584,Shadnagar,15.0,1111,1350,New,0.0,Residential Plot
1585,Sadashivpet,21.0,1555,1350,New,0.0,Residential Plot
1586,Other,19.99,1111,1800,New,0.0,Residential Plot
1587,Other,20.0,1111,1800,New,0.0,Residential Plot
1588,Kadthal,22.5,1666,1350,New,0.0,Residential Plot
1589,Medchal,44.99,3333,1350,New,0.0,Residential Plot
1590,Indresham,14.5,1342,1080,New,0.0,Residential Plot
1591,Sadashivpet,36.5,19945,183,New,0.0,Residential Plot
1592,Indresham,14.5,895,1620,New,0.0,Residential Plot
1593,Shadnagar,27.0,2000,1350,New,0.0,Residential Plot
1594,Kandukur,120.0,2666,4500,New,0.0,Residential Plot
1595,Other,51.57,3820,1350,New,0.0,Residential Plot
1596,Other,6.6,606,1089,New,0.0,Residential Plot
1597,Other,63.35,3888,1629,New,0.0,Residential Plot
1598,Rudraram,54.0,3000,1800,New,0.0,Residential Plot
1599,Shamshabad,250.0,2777,9000,New,0.0,Residential Plot
1600,Mallampet,31.0,2296,1350,Under Construction,3.0,Apartment
1601,Other,810.0,23615,3430,Ready to move,3.0,Apartment
1602,Miyapur,62.0,5232,1185,Ready to move,2.0,Apartment
1603,Other,48.0,4795,1001,Ready to move,2.0,Independent House
1604,Other,38.0,3584,1060,Under Construction,2.0,Apartment
1605,Other,38.0,3584,1060,Under Construction,2.0,Apartment
1606,Other,38.0,3584,1060,Under Construction,2.0,Apartment
1607,Gachibowli,58.05,4500,1290,Under Construction,2.0,Apartment
1608,Other,140.0,5000,2800,Ready to move,3.0,Independent House
1609,Bachupally,55.0,4471,1230,Under Construction,2.0,Apartment
1610,Tellapur,45.15,3500,1290,Under Construction,2.0,Apartment
1611,Miyapur,81.4,6699,1215,Under Construction,2.0,Apartment
1612,Kollur,51.6,4000,1290,Under Construction,2.0,Apartment
1613,Chandanagar,77.82,5500,1415,Ready to move,3.0,Apartment
1614,Kondapur,94.8,6000,1580,Under Construction,3.0,Apartment
1615,Other,34.0,2518,1350,Under Construction,3.0,Apartment
